Eng,Kor,Ver
Lost Allagan Helm of Aiming,잃어버린 알라그 유격대 투구,
Lost Allagan Jacket of Aiming,잃어버린 알라그 유격대 재킷,
Lost Allagan Gloves of Aiming,잃어버린 알라그 유격대 장갑,
Lost Allagan Breeches of Aiming,잃어버린 알라그 유격대 바지,
Lost Allagan Thighboots of Aiming,잃어버린 알라그 유격대 허벅지장화,
Lost Allagan Belt of Aiming,잃어버린 알라그 유격대 허리띠,
Lost Allagan Headgear of Scouting,잃어버린 알라그 정찰대 머리보호구,
Lost Allagan Jacket of Scouting,잃어버린 알라그 정찰대 재킷,
Lost Allagan Gloves of Scouting,잃어버린 알라그 정찰대 장갑,
Lost Allagan Pantaloons of Scouting,잃어버린 알라그 정찰대 나팔바지,
Lost Allagan Sabatons of Scouting,잃어버린 알라그 정찰대 판금장화,
Lost Allagan Belt of Scouting,잃어버린 알라그 정찰대 허리띠,
Lost Allagan Helm of Healing,잃어버린 알라그 치유사 투구,
Lost Allagan Coat of Healing,잃어버린 알라그 치유사 외투,
Lost Allagan Gloves of Healing,잃어버린 알라그 치유사 장갑,
Lost Allagan Pantaloons of Healing,잃어버린 알라그 치유사 나팔바지,
Lost Allagan Sabatons of Healing,잃어버린 알라그 치유사 판금장화,
Lost Allagan Belt of Healing,잃어버린 알라그 치유사 허리띠,
Lost Allagan Helm of Casting,잃어버린 알라그 마술사 투구,
Lost Allagan Coat of Casting,잃어버린 알라그 마술사 외투,
Lost Allagan Gloves of Casting,잃어버린 알라그 마술사 장갑,
Lost Allagan Pantaloons of Casting,잃어버린 알라그 마술사 나팔바지,
Lost Allagan Sabatons of Casting,잃어버린 알라그 마술사 판금장화,
Lost Allagan Belt of Casting,잃어버린 알라그 마술사 허리띠,
Lost Allagan Earrings of Fending,잃어버린 알라그 수호자 귀걸이,
Lost Allagan Earrings of Slaying,잃어버린 알라그 공격대 귀걸이,
Lost Allagan Earrings of Aiming,잃어버린 알라그 유격대 귀걸이,
Lost Allagan Earrings of Healing,잃어버린 알라그 치유사 귀걸이,
Lost Allagan Earrings of Casting,잃어버린 알라그 마술사 귀걸이,
Lost Allagan Choker of Fending,잃어버린 알라그 수호자 목장식,
Lost Allagan Choker of Slaying,잃어버린 알라그 공격대 목장식,
Lost Allagan Choker of Aiming,잃어버린 알라그 유격대 목장식,
Lost Allagan Choker of Healing,잃어버린 알라그 치유사 목장식,
Lost Allagan Choker of Casting,잃어버린 알라그 마술사 목장식,
Lost Allagan Bracelet of Fending,잃어버린 알라그 수호자 팔찌,
Lost Allagan Bracelet of Slaying,잃어버린 알라그 공격대 팔찌,
Lost Allagan Bracelet of Aiming,잃어버린 알라그 유격대 팔찌,
Lost Allagan Bracelet of Healing,잃어버린 알라그 치유사 팔찌,
Lost Allagan Bracelet of Casting,잃어버린 알라그 마술사 팔찌,
Lost Allagan Ring of Fending,잃어버린 알라그 수호자 반지,
Lost Allagan Ring of Slaying,잃어버린 알라그 공격대 반지,
Lost Allagan Ring of Aiming,잃어버린 알라그 유격대 반지,
Lost Allagan Ring of Healing,잃어버린 알라그 치유사 반지,
Lost Allagan Ring of Casting,잃어버린 알라그 마술사 반지,
Augmented Lost Allagan Saber,보강된 잃어버린 알라그 검,
Augmented Lost Allagan Knuckles,보강된 잃어버린 알라그 너클,
Augmented Lost Allagan Battleaxe,보강된 잃어버린 알라그 전투도끼,
Augmented Lost Allagan Halberd,보강된 잃어버린 알라그 미늘창,
Augmented Lost Allagan Composite Bow,보강된 잃어버린 알라그 합성궁,
Augmented Lost Allagan Jambiyas,보강된 잃어버린 알라그 잔비야,
Augmented Lost Allagan Claymore,보강된 잃어버린 알라그 클레이모어,
Augmented Lost Allagan Pistol,보강된 잃어버린 알라그 권총,
Augmented Lost Allagan Cane,보강된 잃어버린 알라그 지팡이,
Augmented Lost Allagan Rod,보강된 잃어버린 알라그 주술봉,
Augmented Lost Allagan Grimoire,보강된 잃어버린 알라그 마도서,
Augmented Lost Allagan Codex,보강된 잃어버린 알라그 치유서,
Augmented Lost Allagan Astrometer,보강된 잃어버린 알라그 천체광도계,
Augmented Lost Allagan Katana,보강된 잃어버린 알라그 외날검,
Augmented Lost Allagan Foil,보강된 잃어버린 알라그 플뢰레,
Augmented Lost Allagan Shield,보강된 잃어버린 알라그 방패,
Augmented Lost Allagan Helm of Fending,보강된 잃어버린 알라그 수호자 투구,
Augmented Lost Allagan Surcoat of Fending,보강된 잃어버린 알라그 수호자 기사겉옷,
Augmented Lost Allagan Gauntlets of Fending,보강된 잃어버린 알라그 수호자 건틀릿,
Augmented Lost Allagan Trousers of Fending,보강된 잃어버린 알라그 수호자 긴바지,
Augmented Lost Allagan Sabatons of Fending,보강된 잃어버린 알라그 수호자 판금장화,
Augmented Lost Allagan Belt of Fending,보강된 잃어버린 알라그 수호자 허리띠,
Augmented Lost Allagan Helm of Maiming,보강된 잃어버린 알라그 학살자 투구,
Augmented Lost Allagan Surcoat of Maiming,보강된 잃어버린 알라그 학살자 기사겉옷,
Augmented Lost Allagan Gloves of Maiming,보강된 잃어버린 알라그 학살자 장갑,
Augmented Lost Allagan Pantaloons of Maiming,보강된 잃어버린 알라그 학살자 나팔바지,
Augmented Lost Allagan Sabatons of Maiming,보강된 잃어버린 알라그 학살자 판금장화,
Augmented Lost Allagan Belt of Maiming,보강된 잃어버린 알라그 학살자 허리띠,
Augmented Lost Allagan Headgear of Striking,보강된 잃어버린 알라그 타격대 머리보호구,
Augmented Lost Allagan Coat of Striking,보강된 잃어버린 알라그 타격대 외투,
Augmented Lost Allagan Gloves of Striking,보강된 잃어버린 알라그 타격대 장갑,
Augmented Lost Allagan Breeches of Striking,보강된 잃어버린 알라그 타격대 바지,
Augmented Lost Allagan Thighboots of Striking,보강된 잃어버린 알라그 타격대 허벅지장화,
Augmented Lost Allagan Belt of Striking,보강된 잃어버린 알라그 타격대 허리띠,
Augmented Lost Allagan Helm of Aiming,보강된 잃어버린 알라그 유격대 투구,
Augmented Lost Allagan Jacket of Aiming,보강된 잃어버린 알라그 유격대 재킷,
Augmented Lost Allagan Gloves of Aiming,보강된 잃어버린 알라그 유격대 장갑,
Augmented Lost Allagan Breeches of Aiming,보강된 잃어버린 알라그 유격대 바지,
Augmented Lost Allagan Thighboots of Aiming,보강된 잃어버린 알라그 유격대 허벅지장화,
Augmented Lost Allagan Belt of Aiming,보강된 잃어버린 알라그 유격대 허리띠,
Augmented Lost Allagan Headgear of Scouting,보강된 잃어버린 알라그 정찰대 머리보호구,
Augmented Lost Allagan Jacket of Scouting,보강된 잃어버린 알라그 정찰대 재킷,
Augmented Lost Allagan Gloves of Scouting,보강된 잃어버린 알라그 정찰대 장갑,
Augmented Lost Allagan Pantaloons of Scouting,보강된 잃어버린 알라그 정찰대 나팔바지,
Augmented Lost Allagan Sabatons of Scouting,보강된 잃어버린 알라그 정찰대 판금장화,
Augmented Lost Allagan Belt of Scouting,보강된 잃어버린 알라그 정찰대 허리띠,
Augmented Lost Allagan Helm of Healing,보강된 잃어버린 알라그 치유사 투구,
Augmented Lost Allagan Coat of Healing,보강된 잃어버린 알라그 치유사 외투,
Augmented Lost Allagan Gloves of Healing,보강된 잃어버린 알라그 치유사 장갑,
Augmented Lost Allagan Pantaloons of Healing,보강된 잃어버린 알라그 치유사 나팔바지,
Augmented Lost Allagan Sabatons of Healing,보강된 잃어버린 알라그 치유사 판금장화,
Augmented Lost Allagan Belt of Healing,보강된 잃어버린 알라그 치유사 허리띠,
Augmented Lost Allagan Helm of Casting,보강된 잃어버린 알라그 마술사 투구,
Augmented Lost Allagan Coat of Casting,보강된 잃어버린 알라그 마술사 외투,
Augmented Lost Allagan Gloves of Casting,보강된 잃어버린 알라그 마술사 장갑,
Augmented Lost Allagan Pantaloons of Casting,보강된 잃어버린 알라그 마술사 나팔바지,
Augmented Lost Allagan Sabatons of Casting,보강된 잃어버린 알라그 마술사 판금장화,
Augmented Lost Allagan Belt of Casting,보강된 잃어버린 알라그 마술사 허리띠,
Augmented Lost Allagan Earrings of Fending,보강된 잃어버린 알라그 수호자 귀걸이,
Augmented Lost Allagan Earrings of Slaying,보강된 잃어버린 알라그 공격대 귀걸이,
Augmented Lost Allagan Earrings of Aiming,보강된 잃어버린 알라그 유격대 귀걸이,
Augmented Lost Allagan Earrings of Healing,보강된 잃어버린 알라그 치유사 귀걸이,
Augmented Lost Allagan Earrings of Casting,보강된 잃어버린 알라그 마술사 귀걸이,
Augmented Lost Allagan Choker of Fending,보강된 잃어버린 알라그 수호자 목장식,
Augmented Lost Allagan Choker of Slaying,보강된 잃어버린 알라그 공격대 목장식,
Augmented Lost Allagan Choker of Aiming,보강된 잃어버린 알라그 유격대 목장식,
Augmented Lost Allagan Choker of Healing,보강된 잃어버린 알라그 치유사 목장식,
Augmented Lost Allagan Choker of Casting,보강된 잃어버린 알라그 마술사 목장식,
Augmented Lost Allagan Bracelet of Fending,보강된 잃어버린 알라그 수호자 팔찌,
Augmented Lost Allagan Bracelet of Slaying,보강된 잃어버린 알라그 공격대 팔찌,
Augmented Lost Allagan Bracelet of Aiming,보강된 잃어버린 알라그 유격대 팔찌,
Augmented Lost Allagan Bracelet of Healing,보강된 잃어버린 알라그 치유사 팔찌,
Augmented Lost Allagan Bracelet of Casting,보강된 잃어버린 알라그 마술사 팔찌,
Augmented Lost Allagan Ring of Fending,보강된 잃어버린 알라그 수호자 반지,
Augmented Lost Allagan Ring of Slaying,보강된 잃어버린 알라그 공격대 반지,
Augmented Lost Allagan Ring of Aiming,보강된 잃어버린 알라그 유격대 반지,
Augmented Lost Allagan Ring of Healing,보강된 잃어버린 알라그 치유사 반지,
Augmented Lost Allagan Ring of Casting,보강된 잃어버린 알라그 마술사 반지,
Genji Shichishito,겐지 칠지도,
Genji Chakrams,겐지 원월륜,
Genji Greataxe,겐지 쇠도끼,
Genji Naginata,겐지 언월도,
Genji Greatbow,겐지 대궁,
Genji Phurpa,겐지 법구,
Genji Nagamaki,겐지 장권,
Genji Arquebus,겐지 화승총,
Genji Cane,겐지 석장,
Genji Rod,겐지 주술봉,
Genji Grimoire,겐지 마법서,
Genji Codex,겐지 치유서,
Genji Ephemeris,겐지 천간지지,
Genji Katana,겐지 외날검,
Genji Rapier,겐지 세검,
Genji Shield,겐지 방패,
Genji Kabuto of Fending,겐지 수호자 투구,
Genji Oyoroi of Fending,겐지 수호자 갑옷,
Genji Kote of Fending,겐지 수호자 팔보호대,
Genji Tsutsu-hakama of Fending,겐지 수호자 하의,
Genji Sune-ate of Fending,겐지 수호자 정강이받이,
Genji Obi of Fending,겐지 수호자 허리띠,
Genji Kabuto of Maiming,겐지 학살자 투구,
Genji Jin-baori of Maiming,겐지 학살자 겉옷,
Genji Kote of Maiming,겐지 학살자 팔보호대,
Genji Tsutsu-hakama of Maiming,겐지 학살자 하의,
Genji Sune-ate of Maiming,겐지 학살자 정강이받이,
Genji Obi of Maiming,겐지 학살자 허리띠,
Genji Kabuto of Striking,겐지 타격대 투구,
Genji Domaru of Striking,겐지 타격대 동환,
Genji Kote of Striking,겐지 타격대 팔보호대,
Genji Tsutsu-hakama of Striking,겐지 타격대 하의,
Genji Sune-ate of Striking,겐지 타격대 정강이받이,
Genji Obi of Striking,겐지 타격대 허리띠,
Genji Eboshi of Aiming,겐지 유격대 모자,
Genji Oyoroi of Aiming,겐지 유격대 갑옷,
Genji Kote of Aiming,겐지 유격대 팔보호대,
Genji Tsutsu-hakama of Aiming,겐지 유격대 하의,
Genji Sune-ate of Aiming,겐지 유격대 정강이받이,
Genji Obi of Aiming,겐지 유격대 허리띠,
Genji Somen of Scouting,겐지 정찰대 면구,
Genji Jin-baori of Scouting,겐지 정찰대 겉옷,
Genji Kote of Scouting,겐지 정찰대 팔보호대,
Genji Tsutsu-hakama of Scouting,겐지 정찰대 하의,
Genji Sune-ate of Scouting,겐지 정찰대 정강이받이,
Genji Obi of Scouting,겐지 정찰대 허리띠,
Genji Eboshi of Healing,겐지 치유사 모자,
Genji Domaru of Healing,겐지 치유사 동환,
Genji Kote of Healing,겐지 치유사 팔보호대,
Genji Tsutsu-hakama of Healing,겐지 치유사 하의,
Genji Sune-ate of Healing,겐지 치유사 정강이받이,
Genji Obi of Healing,겐지 치유사 허리띠,
Genji Kabuto of Casting,겐지 마술사 투구,
Genji Domaru of Casting,겐지 마술사 동환,
Genji Kote of Casting,겐지 마술사 팔보호대,
Genji Tsutsu-hakama of Casting,겐지 마술사 하의,
Genji Sune-ate of Casting,겐지 마술사 정강이받이,
Genji Obi of Casting,겐지 마술사 허리띠,
Genji Earrings of Fending,겐지 수호자 귀걸이,
Genji Earrings of Slaying,겐지 공격대 귀걸이,
Genji Earrings of Aiming,겐지 유격대 귀걸이,
Genji Earrings of Healing,겐지 치유사 귀걸이,
Genji Earrings of Casting,겐지 마술사 귀걸이,
Genji Necklace of Fending,겐지 수호자 목걸이,
Genji Necklace of Slaying,겐지 공격대 목걸이,
Genji Necklace of Aiming,겐지 유격대 목걸이,
Genji Necklace of Healing,겐지 치유사 목걸이,
Genji Necklace of Casting,겐지 마술사 목걸이,
Genji Bracelet of Fending,겐지 수호자 팔찌,
Genji Bracelet of Slaying,겐지 공격대 팔찌,
Genji Bracelet of Aiming,겐지 유격대 팔찌,
Genji Bracelet of Healing,겐지 치유사 팔찌,
Genji Bracelet of Casting,겐지 마술사 팔찌,
Genji Ring of Fending,겐지 수호자 반지,
Genji Ring of Slaying,겐지 공격대 반지,
Genji Ring of Aiming,겐지 유격대 반지,
Genji Ring of Healing,겐지 치유사 반지,
Genji Ring of Casting,겐지 마술사 반지,
Genta Kabuto of Fending,겐타 수호자 투구,
Genta Oyoroi of Fending,겐타 수호자 갑옷,
Genta Kote of Fending,겐타 수호자 팔보호대,
Genta Tsutsu-hakama of Fending,겐타 수호자 하의,
Genta Sune-ate of Fending,겐타 수호자 정강이받이,
Genta Obi of Fending,겐타 수호자 허리띠,
Genta Kabuto of Maiming,겐타 학살자 투구,
Genta Jin-baori of Maiming,겐타 학살자 겉옷,
Genta Kote of Maiming,겐타 학살자 팔보호대,
Genta Tsutsu-hakama of Maiming,겐타 학살자 하의,
Genta Sune-ate of Maiming,겐타 학살자 정강이받이,
Genta Obi of Maiming,겐타 학살자 허리띠,
Genta Kabuto of Striking,겐타 타격대 투구,
Genta Domaru of Striking,겐타 타격대 동환,
Genta Kote of Striking,겐타 타격대 팔보호대,
Genta Tsutsu-hakama of Striking,겐타 타격대 하의,
Genta Sune-ate of Striking,겐타 타격대 정강이받이,
Genta Obi of Striking,겐타 타격대 허리띠,
Genta Eboshi of Aiming,겐타 유격대 모자,
Genta Oyoroi of Aiming,겐타 유격대 갑옷,
Genta Kote of Aiming,겐타 유격대 팔보호대,
Genta Tsutsu-hakama of Aiming,겐타 유격대 하의,
Genta Sune-ate of Aiming,겐타 유격대 정강이받이,
Genta Obi of Aiming,겐타 유격대 허리띠,
Genta Somen of Scouting,겐타 정찰대 면구,
Genta Jin-baori of Scouting,겐타 정찰대 겉옷,
Genta Kote of Scouting,겐타 정찰대 팔보호대,
Genta Tsutsu-hakama of Scouting,겐타 정찰대 하의,
Genta Sune-ate of Scouting,겐타 정찰대 정강이받이,
Genta Obi of Scouting,겐타 정찰대 허리띠,
Genta Eboshi of Healing,겐타 치유사 모자,
Genta Domaru of Healing,겐타 치유사 동환,
Genta Kote of Healing,겐타 치유사 팔보호대,
Genta Tsutsu-hakama of Healing,겐타 치유사 하의,
Genta Sune-ate of Healing,겐타 치유사 정강이받이,
Genta Obi of Healing,겐타 치유사 허리띠,
Genta Kabuto of Casting,겐타 마술사 투구,
Genta Domaru of Casting,겐타 마술사 동환,
Genta Kote of Casting,겐타 마술사 팔보호대,
Genta Tsutsu-hakama of Casting,겐타 마술사 하의,
Genta Sune-ate of Casting,겐타 마술사 정강이받이,
Genta Obi of Casting,겐타 마술사 허리띠,
Genta Earrings of Fending,겐타 수호자 귀걸이,
Genta Earrings of Slaying,겐타 공격대 귀걸이,
Genta Earrings of Aiming,겐타 유격대 귀걸이,
Genta Earrings of Healing,겐타 치유사 귀걸이,
Genta Earrings of Casting,겐타 마술사 귀걸이,
Genta Necklace of Fending,겐타 수호자 목걸이,
Genta Necklace of Slaying,겐타 공격대 목걸이,
Genta Necklace of Aiming,겐타 유격대 목걸이,
Genta Necklace of Healing,겐타 치유사 목걸이,
Genta Necklace of Casting,겐타 마술사 목걸이,
Genta Bracelet of Fending,겐타 수호자 팔찌,
Genta Bracelet of Slaying,겐타 공격대 팔찌,
Genta Bracelet of Aiming,겐타 유격대 팔찌,
Genta Bracelet of Healing,겐타 치유사 팔찌,
Genta Bracelet of Casting,겐타 마술사 팔찌,
Genta Ring of Fending,겐타 수호자 반지,
Genta Ring of Slaying,겐타 공격대 반지,
Genta Ring of Aiming,겐타 유격대 반지,
Genta Ring of Healing,겐타 치유사 반지,
Genta Ring of Casting,겐타 마술사 반지,
Ornate Chromite Armor of Fending,화려한 크롬 수호자 갑옷,
Ornate Chromite Mail of Maiming,화려한 크롬 학살자 갑옷,
Ornate True Griffin Chestpiece of Striking,화려한 순종 그리핀 타격대 가슴받이,
Ornate Indigo Ramie Tabard of Aiming,화려한 남마 유격대 휘장복,
Ornate True Griffin Chestpiece of Scouting,화려한 순종 그리핀 정찰대 가슴받이,
Ornate Indigo Ramie Robe of Healing,화려한 남마 치유사 로브,
Ornate Indigo Ramie Robe of Casting,화려한 남마 마술사 로브,
High Steel Saw,경강 톱,
High Steel Cross-pein Hammer,경강 단조망치,
High Steel Doming Hammer,경강 판금망치,
Koppranickel Ornamental Hammer,백동 장식새김 망치,
High Steel Head Knife,경강 가죽칼,
Bombfish Needle,가시봄 바늘,
High Steel Thermal Alembic,경강 보온 증류기,
High Steel Bomb Frypan,경강 봄 프라이팬,
High Steel Dolabra,경강 양날곡괭이,
High Steel Hatchet,경강 손도끼,
Muudhorn Fishing Rod,무드수드뿔 낚싯대,
High Steel Claw Hammer,경강 장도리,
High Steel File,경강 줄판,
High Steel Pliers,경강 플라이어,
Stiperstone Grinding Wheel,규암 연삭기,
High Steel Awl,경강 목타,
Larch Spinning Wheel,낙엽송 물레,
High Steel Mortar,경강 약연,
High Steel Culinary Knife,경강 요리칼,
High Steel Sledgehammer,경강 채굴망치,
High Steel Scythe,경강 큰낫,
Doman Iron Halfheart Saw,도마철 둥근톱,
Doman Iron Lump Hammer,도마철 중형망치,
Doman Iron Raising Hammer,도마철 돋을무늬 망치,
Durium Texture Hammer,취은 보석공예 망치,
Doman Iron Head Knife,도마철 가죽칼,
Dzo Horn Needle,쇠뿔 바늘,
Doman Iron Alembic,도마철 증류기,
Doman Iron Frypan,도마철 프라이팬,
Doman Iron Pickaxe,도마철 곡괭이,
Doman Iron Hatchet,도마철 손도끼,
Pine Fishing Rod,소나무 낚싯대,
Doman Iron Claw Hammer,도마철 장도리,
Doman Iron File,도마철 줄판,
Doman Iron Pliers,도마철 플라이어,
Slate Grinding Wheel,점판암 연삭기,
Doman Iron Awl,도마철 목타,
Pine Spinning Wheel,소나무 물레,
Doman Iron Mortar,도마철 약연,
Doman Iron Culinary Knife,도마철 요리칼,
Doman Iron Sledgehammer,도마철 채굴망치,
Doman Iron Scythe,도마철 큰낫,
Doman Steel Saw,도마강철 톱,
Doman Steel Cross-pein Hammer,도마강철 단조망치,
Doman Steel Raising Hammer,도마강철 돋을무늬 망치,
Durium Lapidary Hammer,취은 세공망치,
Doman Steel Round Knife,도마강철 둥근칼,
Gazelle Horn Needle,가젤뿔 바늘,
Doman Steel Alembic,도마강철 증류기,
Doman Steel Frypan Caliente,도마강철 프라이팬,
Plumed Doman Steel Pickaxe,도마강철 깃털장식 곡괭이,
Doman Steel Hatchet,도마강철 손도끼,
Gazelle Horn Fishing Rod,가젤뿔 낚싯대,
Doman Steel Claw Hammer,도마강철 장도리,
Doman Steel File,도마강철 줄판,
Doman Steel Pliers,도마강철 플라이어,
Polished Slate Grinding Wheel,강화 점판암 연삭기,
Doman Steel Awl,도마강철 목타,
Persimmon Spinning Wheel,감나무 물레,
Doman Steel Mortar,도마강철 약연,
Doman Steel Culinary Knife,도마강철 요리칼,
Doman Steel Sledgehammer,도마강철 채굴망치,
Doman Steel Scythe,도마강철 큰낫,
Molybdenum Halfheart Saw,몰리브덴 둥근톱,
Molybdenum Lump Hammer,몰리브덴 중형망치,
Molybdenum Ball-pein Hammer,몰리브덴 갑주망치,
Palladium Texture Hammer,팔라듐 보석공예 망치,
Molybdenum Creasing Knife,몰리브덴 가죽공예 칼,
Palladium Needle,팔라듐 바늘,
Molybdenum Alembic,몰리브덴 증류기,
Molybdenum Frypan,몰리브덴 프라이팬,
Molybdenum Pickaxe,몰리브덴 곡괭이,
Molybdenum Hatchet,몰리브덴 손도끼,
Zelkova Fishing Rod,느티나무 낚싯대,
Molybdenum Claw Hammer,몰리브덴 장도리,
Molybdenum File,몰리브덴 줄판,
Molybdenum Pliers,몰리브덴 플라이어,
Almandine Grinding Wheel,귀석류석 연삭기,
Molybdenum Awl,몰리브덴 목타,
Zelkova Spinning Wheel,느티나무 물레,
Molybdenum Mortar,몰리브덴 약연,
Molybdenum Culinary Knife,몰리브덴 요리칼,
Molybdenum Sledgehammer,몰리브덴 채굴망치,
Molybdenum Scythe,몰리브덴 큰낫,
Millking's Saw,제재소왕 톱,
Forgeking's Hammer,제련소왕 단조망치,
Hammerking's Beetle,갑주공방왕 판금망치,
Gemking's Mallet,보석공방왕 세공망치,
Hideking's Knife,가죽공방왕 가죽칼,
Boltking's Needle,방직소왕 바늘,
Cauldronking's Alembic,연금공방왕 증류기,
Galleyking's Frypan,주방왕 프라이팬,
Mineking's Pickaxe,광산왕 곡괭이,
Fieldking's Hatchet,농장왕 손도끼,
Tackleking's Rod,어장왕 낚싯대,
Ala Mhigan Saw,알라미고 톱,
Ala Mhigan Cross-pein Hammer,알라미고 단조망치,
Ala Mhigan Raising Hammer,알라미고 돋을무늬 망치,
Ala Mhigan Lapidary Hammer,알라미고 세공망치,
Ala Mhigan Round Knife,알라미고 둥근칼,
Ala Mhigan Needle,알라미고 바늘,
Ala Mhigan Alembic,알라미고 증류기,
Ala Mhigan Frypan,알라미고 프라이팬,
Ala Mhigan Pickaxe,알라미고 곡괭이,
Ala Mhigan Hatchet,알라미고 손도끼,
Ala Mhigan Fishing Rod,알라미고 낚싯대,
Bloodhempen Turban of Crafting,제작자용 적마 터번,
Bloodhempen Doublet of Crafting,제작자용 적마 겹옷,
Gaganaskin Halfgloves,가가나 손등장갑,
Bloodhempen Skirt,적마 치마,
Gaganaskin Shoes,가가나 신발,
Gaganaskin Bush Hat,가가나 탐험모자,
Gaganaskin Vest,가가나 조끼,
Gaganaskin Gloves,가가나 장갑,
Bloodhempen Trousers of Gathering,채집가용 적마 긴바지,
Gaganaskin Fringe Boots,가가나 술장식 장화,
Ruby Cotton Cap,홍옥면 모자,
Ruby Cotton Coatee,홍옥면 정장웃옷,
Gyuki Leather Gloves of Crafting,제작자용 귀신물범 장갑,
Ruby Cotton Bottoms,홍옥면 하의,
Gyuki Leather Shoes,제작자용 귀신물범 신발,
Gyuki Leather Hat,채집가용 귀신물범 모자,
Gyuki Leather Jacket,채집가용 귀신물범 재킷,
Gyuki Leather Gloves of Gathering,채집가용 귀신물범 장갑,
Gyuki Leather Chaps,채집가용 귀신물범 덧바지,
Gyuki Leather Boots of Gathering,채집가용 귀신물범 장화,
Kudzu Cap of Crafting,제작자용 갈포천 모자,
Kudzu Robe of Crafting,제작자용 갈포천 로브,
Durium Chaplets,취은 손등고리,
Kudzu Culottes of Crafting,제작자용 갈포천 치마바지,
Tigerskin Boots of Crafting,제작자용 호랑이 장화,
Tigerskin Cap of Gathering,채집가용 호랑이 모자,
Kudzu Coat of Gathering,채집가용 갈포천 외투,
Tigerskin Fingerless Gloves of Gathering,채집가용 호랑이 반장갑,
Kudzu Culottes of Gathering,채집가용 갈포천 치마바지,
Tigerskin Boots of Gathering,채집가용 호랑이 장화,
Serge Turban of Crafting,제작자용 초원능직 터번,
Marid Leather Bolero of Crafting,제작자용 마리드 볼레로,
Marid Leather Gloves of Crafting,제작자용 마리드 장갑,
Serge Sarouel of Crafting,제작자용 초원능직 헐렁바지,
Marid Leather Babouches of Crafting,제작자용 마리드 뾰족신발,
Serge Turban of Gathering,채집가용 초원능직 터번,
Marid Leather Bolero of Gathering,채집가용 마리드 볼레로,
Marid Leather Gloves of Gathering,채집가용 마리드 장갑,
Serge Sarouel of Gathering,채집가용 초원능직 헐렁바지,
Marid Leather Babouches of Gathering,채집가용 마리드 뾰족신발,
Serge Knit Cap,초원능직 털모자,
Twinsilk Suspenders,쌍고치 멜빵셔츠,
Gazelleskin Gloves of Crafting,제작자용 가젤 장갑,
Cropped Twinsilk Slops,쌍고치 칠부바지,
Gazelleskin Shoes,가젤 신발,
Serge Hood,초원능직 두건,
Serge Poncho,초원능직 판초,
Serge Work Gloves,채집가용 초원능직 장갑,
Twinsilk Slops of Gathering,채집가용 쌍고치 일자바지,
Fur-lined Gazelleskin Boots,가젤 털장식 장화,
Millking's Cap,제재소왕 모자,
Millking's Coat,제재소왕 외투,
Millking's Gloves,제재소왕 장갑,
Millking's Slops,제재소왕 일자바지,
Millking's Boots,제재소왕 장화,
Forgeking's Bandana,제련소왕 두건,
Forgeking's Apron,제련소왕 앞치마,
Forgeking's Gloves,제련소왕 장갑,
Forgeking's Slops,제련소왕 일자바지,
Forgeking's Boots,제련소왕 장화,
Hammerking's Visor,갑주공방왕 얼굴가리개,
Hammerking's Redingote,갑주공방왕 앞트임외투,
Hammerking's Gloves,갑주공방왕 장갑,
Hammerking's Slops,갑주공방왕 일자바지,
Hammerking's Boots,갑주공방왕 장화,
Gemking's Turban,보석공방왕 터번,
Gemking's Coat,보석공방왕 외투,
Gemking's Gloves,보석공방왕 장갑,
Gemking's Slops,보석공방왕 일자바지,
Gemking's Boots,보석공방왕 장화,
Hideking's Bandana,가죽공방왕 두건,
Hideking's Jacket,가죽공방왕 재킷,
Hideking's Gloves,가죽공방왕 장갑,
Hideking's Slacks,가죽공방왕 하의,
Hideking's Thighboots,가죽공방왕 허벅지장화,
Boltking's Cap,방직소왕 모자,
Boltking's Jacket,방직소왕 재킷,
Boltking's Gloves,방직소왕 장갑,
Boltking's Slops,방직소왕 일자바지,
Boltking's Boots,방직소왕 장화,
Cauldronking's Hat,연금공방왕 모자,
Cauldronking's Coat,연금공방왕 외투,
Cauldronking's Dress Gloves,연금공방왕 예식 장갑,
Cauldronking's Slops,연금공방왕 일자바지,
Cauldronking's Boots,연금공방왕 장화,
Galleyking's Toque,주방왕 조리모,
Galleyking's Apron,주방왕 앞치마,
Galleyking's Mittens,주방왕 벙어리장갑,
Galleyking's Trousers,주방왕 긴바지,
Galleyking's Shoes,주방왕 신발,
Mineking's Helmet,광산왕 철모,
Mineking's Work Shirt,광산왕 작업셔츠,
Mineking's Work Gloves,광산왕 작업장갑,
Mineking's Slops,광산왕 일자바지,
Mineking's Workboots,광산왕 작업장화,
Fieldking's Hat,농장왕 모자,
Fieldking's Shirt,농장왕 셔츠,
Fieldking's Gloves,농장왕 장갑,
Fieldking's Slops,농장왕 일자바지,
Fieldking's Shoes,농장왕 신발,
Tackleking's Bandana,어장왕 두건,
Tackleking's Vest,어장왕 조끼,
Tackleking's Fingerless Gloves,어장왕 반장갑,
Tackleking's Halfslops,어장왕 반바지,
Tackleking's Sandals,어장왕 샌들,
Ala Mhigan Turban of Crafting,알라미고 제작자용 터번,
Ala Mhigan Doublet of Crafting,알라미고 제작자용 겹옷조끼,
Ala Mhigan Gloves of Crafting,알라미고 제작자용 장갑,
Ala Mhigan Bottoms of Crafting,알라미고 제작자용 하의,
